id,tipo,peso
0,20ft,13
1,20ft,21
2,20ft,2
3,20ft,13
4,40ft,14
5,40ft,13
6,40ft,12
7,40ft,13
8,40ft,25
9,40ft,29
10,40ft,26
11,40ft,24
12,40ft,21
13,40ft,5
14,20ft,21
15,20ft,28
16,20ft,21
17,20ft,21
18,40ft,27
19,40ft,27
20,40ft,19
21,40ft,14
22,20ft,3
23,20ft,21
24,40ft,12
25,40ft,13
26,40ft,14
27,40ft,13
28,40ft,12
29,20ft,20
30,20ft,21
31,40ft,21
32,40ft,20
33,40ft,13
34,40ft,9
35,40ft,2
36,20ft,2
37,20ft,3
38,20ft,14
39,20ft,19
40,20ft,8
41,20ft,21
42,40ft,19
43,40ft,19
44,40ft,13
45,40ft,2
46,40ft,22
47,40ft,25
48,40ft,20
49,40ft,22
50,40ft,20
51,40ft,14
52,40ft,12
53,40ft,29
54,40ft,13
55,40ft,15
56,40ft,14
57,40ft,12
58,40ft,13
59,40ft,24
60,40ft,14
61,20ft,22
62,20ft,25
63,20ft,26
64,20ft,27
65,20ft,26
66,20ft,26
67,20ft,28
68,20ft,28
69,20ft,20
70,20ft,19
71,20ft,20
72,20ft,21
73,20ft,21
74,20ft,20
75,40ft,5
76,20ft,19
77,20ft,26
78,40ft,19
79,40ft,8
80,20ft,22
81,20ft,27
82,20ft,8
83,20ft,20
84,40ft,25
85,40ft,24
86,40ft,29
87,40ft,24
88,40ft,8
89,40ft,2
90,20ft,22
91,20ft,28
92,20ft,23
93,20ft,21
94,40ft,20
95,40ft,14
96,40ft,6
97,40ft,3
98,20ft,3
99,20ft,27
100,40ft,25
101,40ft,28
102,40ft,26
103,40ft,22
104,40ft,20
105,20ft,19
106,20ft,26
107,20ft,20
108,20ft,19
109,40ft,24
110,40ft,19
111,40ft,20
112,40ft,8
113,20ft,19
114,20ft,29
115,40ft,26
116,40ft,26
117,40ft,26
118,40ft,24
119,40ft,21
120,40ft,3
121,40ft,3
122,20ft,8
123,20ft,21
124,40ft,28
125,40ft,24
126,40ft,27
127,40ft,13
128,40ft,13
129,40ft,5
130,40ft,26
131,40ft,28
132,40ft,26
133,40ft,25
134,40ft,9
135,20ft,26
136,20ft,24
137,20ft,19
138,20ft,28
139,40ft,26
140,40ft,27
141,40ft,20
142,20ft,22
143,20ft,26
144,20ft,18
145,20ft,21
146,20ft,20
